booking_id,customer_id,status,no_of_rooms,hotel_id,amount,discount,date_of_booking,check_in,check_out,discount_percent
1,189314,Cancelled,1,252,3160,669,2017-01-31,2017-02-04,2017-02-05,21
2,46268,Cancelled,1,252,1893,481,2017-01-27,2017-01-27,2017-01-28,25
3,55271,Stayed,1,252,2188,463,2017-01-25,2017-01-25,2017-01-26,21
4,170766,Cancelled,1,252,3054,646,2017-01-26,2017-01-26,2017-01-27,21
5,170766,Cancelled,1,252,6107,1293,2017-01-25,2017-01-26,2017-01-28,21
6,170766,Cancelled,1,252,9614,2441,2017-01-23,2017-01-26,2017-01-29,25
7,182276,Stayed,1,252,1980,436,2017-01-24,2017-01-24,2017-01-25,22
8,74628,Cancelled,1,252,3054,646,2017-01-10,2017-02-09,2017-02-10,21
9,122584,Stayed,1,571,10397,2200,2017-01-25,2017-02-06,2017-02-08,21
10,170174,Cancelled,1,571,8967,1898,2017-01-28,2017-02-14,2017-02-16,21
11,77745,Stayed,1,571,4679,1188,2017-01-03,2017-01-03,2017-01-04,25
12,77745,Cancelled,1,571,4679,1188,2017-01-03,2017-01-03,2017-01-04,25
13,77745,Cancelled,1,571,4679,1188,2017-01-03,2017-01-03,2017-01-04,25
14,55369,Cancelled,1,109,7927,1678,2017-01-06,2017-02-13,2017-02-15,21
15,42531,Stayed,1,109,1949,1100,2017-01-09,2017-01-09,2017-01-10,56
16,60231,Stayed,1,109,1949,1100,2017-01-08,2017-01-08,2017-01-09,56
17,66762,Stayed,1,109,3509,743,2017-01-01,2017-01-07,2017-01-08,21
18,161206,Stayed,1,109,2859,605,2017-01-02,2017-01-03,2017-01-04,21
19,3452,Stayed,1,88,5977,1265,2017-01-31,2017-02-10,2017-02-12,21
20,193036,Cancelled,1,88,9075,1920,2017-01-15,2017-02-10,2017-02-13,21
21,193036,Cancelled,1,88,12100,2560,2017-01-14,2017-02-08,2017-02-12,21
22,42387,Stayed,1,88,2474,524,2017-01-23,2017-01-24,2017-01-25,21
23,42387,Stayed,1,88,4802,1016,2017-01-16,2017-01-22,2017-01-24,21
24,151804,Cancelled,1,88,3236,684,2017-01-21,2017-01-21,2017-01-22,21
25,62642,Stayed,1,88,5002,1058,2017-01-19,2017-01-19,2017-01-21,21
26,127850,Cancelled,1,88,1905,403,2017-01-14,2017-01-14,2017-01-15,21
27,193036,Stayed,1,88,6092,1289,2017-01-09,2017-01-11,2017-01-13,21
28,42387,Stayed,1,88,4077,1035,2017-01-03,2017-01-09,2017-01-11,25
29,68800,Cancelled,1,88,6510,1652,2017-01-03,2017-01-04,2017-01-06,25
30,148431,Stayed,1,755,4224,1073,2017-01-07,2017-01-07,2017-01-08,25
31,120371,Stayed,1,755,3184,809,2017-01-02,2017-01-02,2017-01-03,25
32,98294,Stayed,1,859,1949,413,2017-01-31,2017-01-31,2017-02-01,21
33,172653,Cancelled,1,859,1689,358,2017-01-15,2017-01-15,2017-01-16,21
34,49442,Stayed,1,859,2144,545,2017-01-05,2017-01-05,2017-01-06,25
35,112916,Stayed,1,232,7093,1500,2017-01-22,2017-01-26,2017-01-28,21
36,78646,Stayed,1,232,2903,614,2017-01-26,2017-01-27,2017-01-28,21
37,46608,Stayed,1,232,3271,831,2017-01-22,2017-01-22,2017-01-23,25
38,169327,Stayed,1,232,6482,1372,2017-01-16,2017-01-20,2017-01-22,21
39,88392,Stayed,1,232,9676,2047,2017-01-09,2017-01-13,2017-01-16,21
40,119048,Cancelled,1,232,3227,820,2017-01-07,2017-01-07,2017-01-08,25
41,145504,Stayed,1,232,3510,891,2017-01-02,2017-01-03,2017-01-05,25
42,154473,Stayed,1,195,2924,743,2017-01-20,2017-01-21,2017-01-22,25
43,108129,Stayed,1,195,2534,536,2017-01-21,2017-01-21,2017-01-22,21
44,78914,Stayed,1,401,2209,468,2017-01-28,2017-01-31,2017-02-01,21
45,24582,Stayed,1,152,1949,413,2017-01-10,2017-01-13,2017-01-14,21
46,127850,Stayed,1,194,2404,508,2017-01-14,2017-01-14,2017-01-15,21
47,148431,Stayed,1,684,2794,710,2017-01-05,2017-01-05,2017-01-06,25
48,164024,Stayed,1,160,2924,767,2017-01-04,2017-01-04,2017-01-05,26
49,17344,Stayed,1,486,4352,921,2017-01-26,2017-02-09,2017-02-11,21
50,171463,Stayed,1,486,7016,1484,2017-01-27,2017-02-01,2017-02-04,21
51,71382,Stayed,1,486,4872,1071,2017-01-25,2017-01-31,2017-02-02,22
52,190191,Stayed,1,486,4287,943,2017-01-18,2017-01-22,2017-01-24,22
53,190191,Stayed,1,486,4157,914,2017-01-18,2017-01-19,2017-01-21,22
54,127850,Cancelled,1,486,2469,523,2017-01-17,2017-01-21,2017-01-22,21
55,148274,Stayed,1,486,4547,963,2017-01-09,2017-01-16,2017-01-18,21
56,71382,Stayed,1,486,4287,943,2017-01-11,2017-01-12,2017-01-14,22
57,89928,Stayed,2,486,5067,1286,2017-01-04,2017-01-06,2017-01-07,25
58,192162,Stayed,1,153,2339,594,2017-01-16,2017-01-16,2017-01-17,25
59,192162,Cancelled,1,153,2144,453,2017-01-11,2017-01-16,2017-01-17,21
60,46140,Stayed,2,153,12995,3409,2017-01-03,2017-01-09,2017-01-11,26
